datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-15 20:15:00,OANDA:XAUUSD,4545.86,4551.655,4545.14,4549.0,3682.0,False,False,False,True,False,False
2026-05-15 20:20:00,OANDA:XAUUSD,4548.98,4558.815,4548.105,4555.75,4174.0,True,False,True,False,True,False
2026-05-15 20:25:00,OANDA:XAUUSD,4555.625,4557.62,4552.83,4555.235,2832.0,False,False,False,False,False,False
2026-05-15 20:30:00,OANDA:XAUUSD,4555.22,4555.22,4548.21,4549.8,3752.0,False,False,False,False,False,True
2026-05-15 20:35:00,OANDA:XAUUSD,4549.57,4554.045,4547.665,4548.365,3643.0,False,False,False,False,False,False
2026-05-15 20:40:00,OANDA:XAUUSD,4548.135,4550.095,4543.83,4545.79,2967.0,False,False,False,True,False,True
2026-05-15 20:45:00,OANDA:XAUUSD,4545.805,4552.055,4543.9,4549.585,3429.0,False,False,False,False,False,False
2026-05-15 20:50:00,OANDA:XAUUSD,4549.605,4555.68,4547.495,4554.43,2634.0,False,False,False,False,True,False
2026-05-15 20:55:00,OANDA:XAUUSD,4554.35,4554.86,4545.895,4545.96,2830.0,False,False,False,False,False,True
2026-05-15 21:00:00,OANDA:XAUUSD,4545.965,4549.335,4538.635,4544.485,7429.0,False,False,False,True,False,True
2026-05-15 21:05:00,OANDA:XAUUSD,4544.5,4549.85,4536.285,4538.495,5678.0,False,False,False,True,False,True
2026-05-15 21:10:00,OANDA:XAUUSD,4538.515,4547.06,4538.34,4546.88,4327.0,False,False,False,False,False,False
2026-05-15 21:15:00,OANDA:XAUUSD,4546.885,4553.465,4540.84,4550.895,5044.0,True,False,False,False,True,False
2026-05-15 21:20:00,OANDA:XAUUSD,4550.875,4554.73,4549.605,4554.595,3586.0,False,False,False,False,True,False
2026-05-15 21:25:00,OANDA:XAUUSD,4554.66,4557.66,4546.505,4548.965,4973.0,False,False,True,False,False,True
